rgb_ts,depth_ts,rgb_fx,rgb_fy,rgb_cx,rgb_cy,rgb_width,rgb_height,depth_fx,depth_fy,depth_cx,depth_cy,depth_width,depth_height,near,far,rgb_pos_x,rgb_pos_y,rgb_pos_z,rgb_rot_x,rgb_rot_y,rgb_rot_z,rgb_rot_w,depth_pos_x,depth_pos_y,depth_pos_z,depth_rot_x,depth_rot_y,depth_rot_z,depth_rot_w
1776821048423,1776821048464,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.596994034175997,1.8116097712239565,4.574749364809802,-0.12386672227136879,-0.24654269362025646,0.057065126589002216,-0.9594880440441128,4.56738376617432,1.83505392074585,4.52011966705322,-0.0295243784785271,-0.248874485492706,0.0381371155381203,-0.967334151268005
1776821048770,1776821048797,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.597318785026173,1.811135777343601,4.5769954376764925,-0.11890960217549665,-0.3199322825980407,0.07553857489958432,-0.9369086213522707,4.5620698928833,1.8346654176712,4.52668428421021,-0.0272076036781073,-0.317592710256577,0.0484560690820217,-0.946597397327423
1776821049103,1776821049144,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.552057276258161,1.8106646308519898,4.580791657138609,-0.11188296460108134,-0.4261063079537476,0.0978217312361816,-0.8923824995213967,4.50243520736694,1.83509480953217,4.54160213470459,-0.023019652813673,-0.435746639966965,0.0613725781440735,-0.897679388523102
1776821049451,1776821049492,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.511320948548128,1.8102571188213235,4.558572611522873,-0.10675866803547301,-0.5424355264547605,0.11648208165642449,-0.8251049697414413,4.45567321777344,1.83603084087372,4.53346967697144,-0.0239245221018791,-0.549432814121246,0.0681564286351204,-0.832409739494324
1776821049784,1776821049825,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.488215223004816,1.8159391918213819,4.509373034720241,-0.0848920458299349,-0.6191823496441837,0.11142008678162861,-0.7726526533349188,4.42809867858887,1.83953058719635,4.49555730819702,-0.00696184113621712,-0.625191509723663,0.0555186048150063,-0.778463125228882
1776821050117,1776821050158,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.472829265868268,1.8302153120444913,4.420733440660903,-0.04351639193937806,-0.6609817967073477,0.08965932174485929,-0.7437543909640848,4.40960216522217,1.84827494621277,4.41301870346069,0.0315825045108795,-0.664884805679321,0.029586311429739,-0.745691359043121
1776821050450,1776821050492,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.449401425423781,1.8431106186368535,4.316777084891702,-0.006891115455768064,-0.6621061379803431,0.04662454496145536,-0.7479265514632218,4.38455200195313,1.85391736030579,4.30871057510376,0.0684278234839439,-0.661768198013306,-0.0134391598403454,-0.746458232402802
1776821050798,1776821050839,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.4102301229120044,1.8642075635192343,4.260162527006244,0.048899195228891405,-0.6311580049064136,-0.00028246803012554883,-0.7741113367987412,4.34748935699463,1.86482608318329,4.24822187423706,0.12409446388483,-0.628312528133392,-0.055752269923687,-0.765973687171936
1776821051131,1776821051172,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.350287307518734,1.8856365977901572,4.250089895210474,0.10766087304395115,-0.5970777278013929,-0.03828564083957333,-0.7940034843024579,4.29072904586792,1.87640237808228,4.23237276077271,0.181641027331352,-0.589723944664001,-0.0891224145889282,-0.781850039958954
1776821051464,1776821051505,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.270363923240136,1.912687467205859,4.2511002031299325,0.1854695398884179,-0.5643089256348048,-0.07999189790729334,-0.8004734739463015,4.21376466751099,1.89223086833954,4.23085975646973,0.261380016803741,-0.553215622901917,-0.128880500793457,-0.780399143695831
1776821051825,1776821051853,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.206407665844298,1.9308411176394193,4.236938396320245,0.2641458084052901,-0.5150340419140825,-0.10215934087353212,-0.8090305288701067,4.15316772460938,1.90071678161621,4.21378087997437,0.34181621670723,-0.50091290473938,-0.147859260439873,-0.781271815299988
