model,image,latency_seconds
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000035.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000036.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000037.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000038.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000039.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000040.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000041.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000042.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000043.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000044.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000045.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000046.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000047.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000048.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000049.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000050.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000051.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000052.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000053.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000054.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000055.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000056.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000057.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000058.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000059.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000060.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000061.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000062.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000063.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000064.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000065.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000066.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000067.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000068.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000069.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000070.jpg,0.649462
